"","RequestedDeliveryMonth","MaterialKey","PlantKey","Quantity","MaterialPlantKey"
"93",2022-10-01,1,6,8416,10006
"94",2022-10-01,1,7,290,10007
"95",2022-10-01,1,8,6201,10008
"96",2022-10-01,2,4,3452,20004
"97",2022-10-01,2,5,1650,20005
"98",2022-10-01,2,6,2666,20006
"99",2022-10-01,2,7,64,20007
"100",2022-10-01,2,8,2177,20008
"101",2022-11-01,1,4,16961,10004
"102",2022-11-01,1,5,6511,10005
"103",2022-11-01,1,6,7629,10006
"104",2022-11-01,1,7,129,10007
"105",2022-11-01,1,8,5466,10008
"106",2022-11-01,2,4,4107,20004
"107",2022-11-01,2,5,1501,20005
"108",2022-11-01,2,6,1376,20006
"109",2022-11-01,2,7,9,20007
"110",2022-11-01,2,8,1367,20008
"111",2022-12-01,1,4,15384,10004
"112",2022-12-01,1,5,5957,10005
"113",2022-12-01,1,6,8412,10006
"114",2022-12-01,1,7,85,10007
"115",2022-12-01,1,8,6975,10008
"116",2022-12-01,2,4,3638,20004
"117",2022-12-01,2,5,1237,20005
"118",2022-12-01,2,6,1718,20006
"119",2022-12-01,2,7,50,20007
"120",2022-12-01,2,8,1815,20008
"121",2023-01-01,1,4,18831,10004
"122",2023-01-01,1,5,5975,10005
"123",2023-01-01,1,6,9708,10006
"124",2023-01-01,1,7,154,10007
"125",2023-01-01,1,8,8045,10008
"126",2023-01-01,2,4,3159,20004
"127",2023-01-01,2,5,1878,20005
"128",2023-01-01,2,6,2410,20006
"129",2023-01-01,2,7,143,20007
"130",2023-01-01,2,8,1866,20008
"131",2023-02-01,1,4,12752,10004
"132",2023-02-01,1,5,5620,10005
"133",2023-02-01,1,6,7977,10006
"134",2023-02-01,1,7,256,10007
"135",2023-02-01,1,8,5309,10008
"136",2023-02-01,2,4,3643,20004
"137",2023-02-01,2,5,1579,20005
"138",2023-02-01,2,6,2074,20006
"139",2023-02-01,2,7,101,20007
"140",2023-02-01,2,8,1484,20008
"141",2023-03-01,1,4,19483,10004
"142",2023-03-01,1,5,8964,10005
"143",2023-03-01,1,6,7619,10006
"144",2023-03-01,1,7,374,10007
"145",2023-03-01,1,8,6375,10008
"146",2023-03-01,2,4,4233,20004
"147",2023-03-01,2,5,2237,20005
"148",2023-03-01,2,6,1907,20006
"149",2023-03-01,2,7,87,20007
"150",2023-03-01,2,8,1750,20008
"151",2023-04-01,1,4,15233,10004
"152",2023-04-01,1,5,6667,10005
"153",2023-04-01,1,6,9720,10006
"154",2023-04-01,1,7,129,10007
"155",2023-04-01,1,8,7447,10008
"156",2023-04-01,2,4,3713,20004
"157",2023-04-01,2,5,2104,20005
"158",2023-04-01,2,6,2062,20006
"159",2023-04-01,2,7,57,20007
"160",2023-04-01,2,8,1969,20008
"161",2023-05-01,1,4,16759,10004
"162",2023-05-01,1,5,7208,10005
"163",2023-05-01,1,6,7879,10006
"164",2023-05-01,1,7,263,10007
"165",2023-05-01,1,8,6100,10008
"166",2023-05-01,2,4,4075,20004
"167",2023-05-01,2,5,2004,20005
"168",2023-05-01,2,6,1716,20006
"169",2023-05-01,2,7,48,20007
"170",2023-05-01,2,8,1314,20008
"171",2023-06-01,1,4,18299,10004
"172",2023-06-01,1,5,7050,10005
"173",2023-06-01,1,6,8001,10006
"174",2023-06-01,1,7,300,10007
"175",2023-06-01,1,8,6674,10008
"176",2023-06-01,2,4,3854,20004
"177",2023-06-01,2,5,1735,20005
"178",2023-06-01,2,6,1701,20006
"179",2023-06-01,2,7,102,20007
"180",2023-06-01,2,8,2252,20008
"181",2023-07-01,1,4,16895,10004
"182",2023-07-01,1,5,6433,10005
"183",2023-07-01,1,6,9149,10006
"184",2023-07-01,1,7,140,10007
"185",2023-07-01,1,8,5933,10008
"186",2023-07-01,2,4,3820,20004
"187",2023-07-01,2,5,2032,20005
"188",2023-07-01,2,6,2950,20006
"189",2023-07-01,2,7,34,20007
"190",2023-07-01,2,8,1688,20008
"191",2023-08-01,1,4,19235,10004
"192",2023-08-01,1,5,8503,10005
"193",2023-08-01,1,6,9177,10006
"194",2023-08-01,1,7,193,10007
"195",2023-08-01,1,8,6167,10008
"196",2023-08-01,2,4,3892,20004
"197",2023-08-01,2,5,2566,20005
"198",2023-08-01,2,6,2539,20006
"199",2023-08-01,2,7,105,20007
"200",2023-08-01,2,8,1627,20008
"201",2023-09-01,1,4,16193,10004
"202",2023-09-01,1,5,7990,10005
"203",2023-09-01,1,6,8277,10006
"204",2023-09-01,1,7,182,10007
"205",2023-09-01,1,8,7100,10008
"206",2023-09-01,2,4,4689,20004
"207",2023-09-01,2,5,2326,20005
"208",2023-09-01,2,6,1875,20006
"209",2023-09-01,2,7,69,20007
"210",2023-09-01,2,8,2211,20008
"211",2023-10-01,1,4,15857,10004
"212",2023-10-01,1,5,6901,10005
"213",2023-10-01,1,6,9718,10006
"214",2023-10-01,1,7,157,10007
"215",2023-10-01,1,8,5856,10008
"216",2023-10-01,2,4,3310,20004
"217",2023-10-01,2,5,1937,20005
"218",2023-10-01,2,6,2236,20006
"219",2023-10-01,2,7,14,20007
"220",2023-10-01,2,8,1612,20008
"221",2023-11-01,1,4,16050,10004
"222",2023-11-01,1,5,8052,10005
"223",2023-11-01,1,6,7227,10006
"224",2023-11-01,1,7,150,10007
"225",2023-11-01,1,8,6478,10008
"226",2023-11-01,2,4,3429,20004
"227",2023-11-01,2,5,1598,20005
"228",2023-11-01,2,6,2291,20006
"229",2023-11-01,2,7,61,20007
"230",2023-11-01,2,8,1969,20008
"231",2023-12-01,1,4,18020,10004
"232",2023-12-01,1,5,7198,10005
"233",2023-12-01,1,6,10359,10006
"234",2023-12-01,1,7,269,10007
"235",2023-12-01,1,8,8598,10008
"236",2023-12-01,2,4,4091,20004
"237",2023-12-01,2,5,2330,20005
"238",2023-12-01,2,6,2509,20006
"239",2023-12-01,2,7,74,20007
"240",2023-12-01,2,8,2364,20008
"241",2024-01-01,1,4,19689,10004
"242",2024-01-01,1,5,6517,10005
"243",2024-01-01,1,6,9316,10006
"244",2024-01-01,1,7,310,10007
"245",2024-01-01,1,8,6289,10008
"246",2024-01-01,2,4,5112,20004
"247",2024-01-01,2,5,2247,20005
"248",2024-01-01,2,6,1701,20006
"249",2024-01-01,2,7,55,20007
"250",2024-01-01,2,8,2800,20008
"251",2024-02-01,1,4,17453,10004
"252",2024-02-01,1,5,7957,10005
"253",2024-02-01,1,6,10924,10006
"254",2024-02-01,1,7,159,10007
"255",2024-02-01,1,8,7191,10008
"256",2024-02-01,2,4,3229,20004
"257",2024-02-01,2,5,2024,20005
"258",2024-02-01,2,6,2776,20006
"259",2024-02-01,2,7,31,20007
"260",2024-02-01,2,8,2072,20008
"261",2024-03-01,1,4,15768,10004
"262",2024-03-01,1,5,8351,10005
"263",2024-03-01,1,6,11030,10006
"264",2024-03-01,1,7,173,10007
"265",2024-03-01,1,8,7183,10008
"266",2024-03-01,2,4,4741,20004
"267",2024-03-01,2,5,1593,20005
"268",2024-03-01,2,6,3116,20006
"269",2024-03-01,2,7,76,20007
"270",2024-03-01,2,8,1596,20008
"271",2024-04-01,1,4,19512,10004
"272",2024-04-01,1,5,7590,10005
"273",2024-04-01,1,6,9297,10006
"274",2024-04-01,1,7,137,10007
"275",2024-04-01,1,8,7276,10008
"276",2024-04-01,2,4,3913,20004
"277",2024-04-01,2,5,2084,20005
"278",2024-04-01,2,6,1861,20006
"279",2024-04-01,2,7,74,20007
"280",2024-04-01,2,8,2399,20008
"281",2024-05-01,1,4,16559,10004
"282",2024-05-01,1,5,8251,10005
"283",2024-05-01,1,6,11029,10006
"284",2024-05-01,1,7,226,10007
"285",2024-05-01,1,8,6872,10008
"286",2024-05-01,2,4,5212,20004
"287",2024-05-01,2,5,1725,20005
"288",2024-05-01,2,6,2489,20006
"289",2024-05-01,2,7,52,20007
"290",2024-05-01,2,8,1454,20008
"291",2024-06-01,1,4,17233,10004
"292",2024-06-01,1,5,9559,10005
"293",2024-06-01,1,6,7557,10006
"294",2024-06-01,1,7,247,10007
"295",2024-06-01,1,8,5448,10008
"296",2024-06-01,2,4,4720,20004
"297",2024-06-01,2,5,1934,20005
"298",2024-06-01,2,6,1869,20006
"299",2024-06-01,2,7,54,20007
"300",2024-06-01,2,8,1714,20008
"301",2024-07-01,1,4,19409,10004
"302",2024-07-01,1,5,8192,10005
"303",2024-07-01,1,6,11851,10006
"304",2024-07-01,1,7,174,10007
"305",2024-07-01,1,8,7320,10008
"306",2024-07-01,2,4,5051,20004
"307",2024-07-01,2,5,2026,20005
"308",2024-07-01,2,6,1869,20006
"309",2024-07-01,2,7,92,20007
"310",2024-07-01,2,8,1917,20008
"311",2024-08-01,1,4,16022,10004
"312",2024-08-01,1,5,10299,10005
"313",2024-08-01,1,6,8526,10006
"314",2024-08-01,1,7,249,10007
"315",2024-08-01,1,8,5972,10008
"316",2024-08-01,2,4,5674,20004
"317",2024-08-01,2,5,2541,20005
"318",2024-08-01,2,6,2822,20006
"319",2024-08-01,2,7,113,20007
"320",2024-08-01,2,8,2054,20008
"321",2024-09-01,1,4,16533,10004
"322",2024-09-01,1,5,7725,10005
"323",2024-09-01,1,6,10823,10006
"324",2024-09-01,1,7,378,10007
"325",2024-09-01,1,8,7535,10008
"326",2024-09-01,2,4,4202,20004
"327",2024-09-01,2,5,2263,20005
"328",2024-09-01,2,6,2002,20006
"329",2024-09-01,2,7,84,20007
"330",2024-09-01,2,8,1679,20008
"331",2024-10-01,1,4,20252,10004
"332",2024-10-01,1,5,8325,10005
"333",2024-10-01,1,6,10233,10006
"334",2024-10-01,1,7,340,10007
"335",2024-10-01,1,8,6310,10008
"336",2024-10-01,2,4,5077,20004
"337",2024-10-01,2,5,2651,20005
"338",2024-10-01,2,6,2639,20006
"339",2024-10-01,2,7,53,20007
"340",2024-10-01,2,8,1999,20008
"341",2024-11-01,1,4,15333,10004
"342",2024-11-01,1,5,6613,10005
"343",2024-11-01,1,6,8173,10006
"344",2024-11-01,1,7,340,10007
"345",2024-11-01,1,8,8161,10008
"346",2024-11-01,2,4,4041,20004
"347",2024-11-01,2,5,1918,20005
"348",2024-11-01,2,6,2470,20006
"349",2024-11-01,2,7,33,20007
"350",2024-11-01,2,8,1719,20008
"351",2024-12-01,1,4,17676,10004
"352",2024-12-01,1,5,7957,10005
"353",2024-12-01,1,6,10968,10006
"354",2024-12-01,1,7,208,10007
"355",2024-12-01,1,8,8509,10008
"356",2024-12-01,2,4,3697,20004
"357",2024-12-01,2,5,2465,20005
"358",2024-12-01,2,6,3286,20006
"359",2024-12-01,2,7,18,20007
"360",2024-12-01,2,8,1806,20008
"361",2025-01-01,1,4,20858,10004
"362",2025-01-01,1,5,10263,10005
"363",2025-01-01,1,6,11433,10006
"364",2025-01-01,1,7,348,10007
"365",2025-01-01,1,8,8496,10008
"366",2025-01-01,2,4,5505,20004
"367",2025-01-01,2,5,2902,20005
"368",2025-01-01,2,6,2627,20006
"369",2025-01-01,2,7,51,20007
"370",2025-01-01,2,8,2624,20008
"371",2025-02-01,1,4,18276,10004
"372",2025-02-01,1,5,8633,10005
"373",2025-02-01,1,6,10220,10006
"374",2025-02-01,1,7,233,10007
"375",2025-02-01,1,8,7744,10008
"376",2025-02-01,2,4,4476,20004
"377",2025-02-01,2,5,2228,20005
"378",2025-02-01,2,6,2620,20006
"379",2025-02-01,2,7,46,20007
"380",2025-02-01,2,8,2216,20008
"381",2025-03-01,1,4,20864,10004
"382",2025-03-01,1,5,9028,10005
"383",2025-03-01,1,6,12064,10006
"384",2025-03-01,1,7,238,10007
"385",2025-03-01,1,8,8303,10008
"386",2025-03-01,2,4,5197,20004
"387",2025-03-01,2,5,2249,20005
"388",2025-03-01,2,6,3141,20006
"389",2025-03-01,2,7,111,20007
"390",2025-03-01,2,8,1896,20008
"391",2025-04-01,1,4,20650,10004
"392",2025-04-01,1,5,8403,10005
"393",2025-04-01,1,6,9052,10006
"394",2025-04-01,1,7,121,10007
"395",2025-04-01,1,8,9610,10008
"396",2025-04-01,2,4,5151,20004
"397",2025-04-01,2,5,2705,20005
"398",2025-04-01,2,6,2751,20006
"399",2025-04-01,2,7,79,20007
"400",2025-04-01,2,8,2300,20008
"401",2025-05-01,1,4,19871,10004
"402",2025-05-01,1,5,9980,10005
"403",2025-05-01,1,6,11678,10006
"404",2025-05-01,1,7,228,10007
"405",2025-05-01,1,8,8796,10008
"406",2025-05-01,2,4,4699,20004
"407",2025-05-01,2,5,2074,20005
"408",2025-05-01,2,6,3604,20006
"409",2025-05-01,2,7,60,20007
"410",2025-05-01,2,8,1954,20008
"411",2025-06-01,1,4,22111,10004
"412",2025-06-01,1,5,9785,10005
"413",2025-06-01,1,6,9992,10006
"414",2025-06-01,1,7,258,10007
"415",2025-06-01,1,8,6929,10008
"416",2025-06-01,2,4,4759,20004
"417",2025-06-01,2,5,1951,20005
"418",2025-06-01,2,6,2528,20006
"419",2025-06-01,2,7,73,20007
"420",2025-06-01,2,8,2379,20008
"421",2025-07-01,1,4,21400,10004
"422",2025-07-01,1,5,8874,10005
"423",2025-07-01,1,6,13284,10006
"424",2025-07-01,1,7,256,10007
"425",2025-07-01,1,8,8540,10008
"426",2025-07-01,2,4,4876,20004
"427",2025-07-01,2,5,2463,20005
"428",2025-07-01,2,6,2461,20006
"429",2025-07-01,2,7,103,20007
"430",2025-07-01,2,8,2043,20008
"431",2025-08-01,1,4,22814,10004
"432",2025-08-01,1,5,8714,10005
"433",2025-08-01,1,6,11515,10006
"434",2025-08-01,1,7,291,10007
"435",2025-08-01,1,8,8402,10008
"436",2025-08-01,2,4,5054,20004
"437",2025-08-01,2,5,2738,20005
"438",2025-08-01,2,6,3090,20006
"439",2025-08-01,2,7,116,20007
"440",2025-08-01,2,8,2231,20008
"441",2025-09-01,1,4,19479,10004
"442",2025-09-01,1,5,9270,10005
"443",2025-09-01,1,6,11346,10006
"444",2025-09-01,1,7,439,10007
"445",2025-09-01,1,8,8494,10008
"446",2025-09-01,2,4,4444,20004
"447",2025-09-01,2,5,2384,20005
"448",2025-09-01,2,6,2407,20006
"449",2025-09-01,2,7,88,20007
"450",2025-09-01,2,8,2407,20008
"451",2025-10-01,1,4,21360,10004
"452",2025-10-01,1,5,9737,10005
"453",2025-10-01,1,6,12280,10006
"454",2025-10-01,1,7,377,10007
"455",2025-10-01,1,8,8574,10008
"456",2025-10-01,2,4,6245,20004
"457",2025-10-01,2,5,2485,20005
"458",2025-10-01,2,6,2309,20006
"459",2025-10-01,2,7,56,20007
"460",2025-10-01,2,8,2368,20008
"461",2025-11-01,1,4,20950,10004
"462",2025-11-01,1,5,8417,10005
"463",2025-11-01,1,6,10320,10006
"464",2025-11-01,1,7,466,10007
"465",2025-11-01,1,8,9277,10008
"466",2025-11-01,2,4,6357,20004
"467",2025-11-01,2,5,1840,20005
"468",2025-11-01,2,6,2968,20006
"469",2025-11-01,2,7,44,20007
"470",2025-11-01,2,8,1988,20008
"471",2025-12-01,1,4,20777,10004
"472",2025-12-01,1,5,8933,10005
"473",2025-12-01,1,6,11819,10006
"474",2025-12-01,1,7,318,10007
"475",2025-12-01,1,8,8373,10008
"476",2025-12-01,2,4,5009,20004
"477",2025-12-01,2,5,2444,20005
"478",2025-12-01,2,6,3129,20006
"479",2025-12-01,2,7,19,20007
"480",2025-12-01,2,8,2116,20008
