"","PurchaseOrder","PurchaseOrderCreationDate","VendorKey","PlantKey","MaterialKey","MaterialPlantKey","PurchaseOrderQuantity","PlannedGoodsReceiptDate","ActualGoodsReceiptDate","PlannedArrivalDateYard","ActualArrivalDateYard","PlannedVendorShipmentDate","ActualVendorShipmentDate"
"22",4500000022,2023-06-07,1001,4,2,20004,73,2023-06-30,2023-06-29,2023-06-28,2023-06-28,2023-06-27,2023-06-27
"23",4500000023,2024-09-05,1001,4,1,10004,78,2024-09-28,2024-09-28,2024-09-26,2024-09-26,2024-09-25,2024-09-25
"24",4500000024,2022-02-12,1001,4,1,10004,70,2022-03-07,2022-03-04,2022-03-05,2022-03-05,2022-03-04,2022-03-04
"25",4500000025,2023-06-14,1001,4,1,10004,63,2023-07-07,2023-07-06,2023-07-05,2023-07-05,2023-07-04,2023-07-04
"26",4500000026,2022-10-21,1001,4,2,20004,82,2022-11-13,2022-11-10,2022-11-11,2022-11-11,2022-11-10,2022-11-10
"27",4500000027,2023-02-09,1001,4,1,10004,82,2023-03-04,2023-03-13,2023-03-02,2023-03-11,2023-03-01,2023-03-10
"28",4500000028,2022-08-07,1001,4,1,10004,79,2022-08-30,2022-08-26,2022-08-28,2022-08-28,2022-08-27,2022-08-27
"29",4500000029,2024-10-07,1002,5,1,10005,79,2024-10-30,2024-10-30,2024-10-28,2024-10-28,2024-10-27,2024-10-27
"30",4500000030,2022-10-09,1001,4,1,10004,71,2022-11-01,2022-11-01,2022-10-30,2022-10-30,2022-10-29,2022-10-29
"31",4500000031,2024-02-22,1001,4,1,10004,84,2024-03-16,2024-03-16,2024-03-14,2024-03-14,2024-03-13,2024-03-13
"32",4500000032,2023-07-09,1001,4,1,10004,70,2023-08-01,2023-07-27,2023-07-30,2023-07-30,2023-07-29,2023-07-29
"33",4500000033,2022-01-14,1003,6,1,10006,65,2022-02-06,2022-02-04,2022-02-04,2022-02-04,2022-02-03,2022-02-03
"34",4500000034,2023-12-25,1002,5,1,10005,76,2024-01-17,2024-01-29,2024-01-15,2024-01-27,2024-01-14,2024-01-26
"35",4500000035,2022-09-14,1001,4,2,20004,77,2022-10-07,2022-10-04,2022-10-05,2022-10-05,2022-10-04,2022-10-04
"36",4500000036,2023-05-07,1003,6,2,20006,81,2023-05-30,2023-05-26,2023-05-28,2023-05-28,2023-05-27,2023-05-27
"37",4500000037,2022-08-21,1003,6,2,20006,88,2022-09-13,2022-09-27,2022-09-11,2022-09-25,2022-09-10,2022-09-24
"38",4500000038,2023-08-23,1001,4,1,10004,84,2023-09-15,2023-09-15,2023-09-13,2023-09-13,2023-09-12,2023-09-12
"39",4500000039,2024-02-13,1002,8,1,10008,71,2024-03-08,2024-03-07,2024-03-06,2024-03-06,2024-03-04,2024-03-04
"40",4500000040,2022-10-28,1001,4,2,20004,90,2022-11-20,2022-11-17,2022-11-18,2022-11-18,2022-11-17,2022-11-17
"41",4500000041,2024-09-21,1003,6,1,10006,82,2024-10-14,2024-10-09,2024-10-12,2024-10-12,2024-10-11,2024-10-11
"42",4500000042,2022-12-26,1001,4,1,10004,85,2023-01-18,2023-01-23,2023-01-16,2023-01-16,2023-01-15,2023-01-15
"43",4500000043,2022-01-28,1002,5,1,10005,77,2022-02-20,2022-02-17,2022-02-18,2022-02-18,2022-02-17,2022-02-17
"44",4500000044,2023-07-22,1002,8,1,10008,81,2023-08-15,2023-08-14,2023-08-13,2023-08-13,2023-08-11,2023-08-11
"45",4500000045,2022-10-28,1001,4,1,10004,77,2022-11-20,2022-11-16,2022-11-18,2022-11-18,2022-11-17,2022-11-17
"46",4500000046,2023-06-22,1002,8,1,10008,78,2023-07-16,2023-07-16,2023-07-14,2023-07-14,2023-07-12,2023-07-12
"47",4500000047,2023-05-05,1002,8,1,10008,69,2023-05-29,2023-05-26,2023-05-27,2023-05-27,2023-05-25,2023-05-25
"48",4500000048,2022-09-07,1001,4,1,10004,72,2022-09-30,2022-09-28,2022-09-28,2022-09-28,2022-09-27,2022-09-27
"49",4500000049,2022-02-06,1002,8,2,20008,73,2022-03-02,2022-02-25,2022-02-28,2022-02-28,2022-02-26,2022-02-26
"50",4500000050,2022-06-14,1002,8,1,10008,77,2022-07-08,2022-07-14,2022-07-06,2022-07-12,2022-07-04,2022-07-10
"51",4500000051,2024-02-25,1003,6,1,10006,76,2024-03-19,2024-03-14,2024-03-17,2024-03-17,2024-03-16,2024-03-16
"52",4500000052,2023-10-24,1003,6,1,10006,91,2023-11-16,2023-11-16,2023-11-14,2023-11-14,2023-11-13,2023-11-13
"53",4500000053,2024-08-25,1003,6,1,10006,84,2024-09-17,2024-09-12,2024-09-15,2024-09-15,2024-09-14,2024-09-14
"54",4500000054,2023-04-08,1003,6,1,10006,83,2023-05-01,2023-05-01,2023-04-29,2023-04-29,2023-04-28,2023-04-28
"55",4500000055,2024-09-07,1001,4,1,10004,76,2024-09-30,2024-09-30,2024-09-28,2024-09-28,2024-09-27,2024-09-27
"56",4500000056,2022-02-09,1003,6,1,10006,68,2022-03-04,2022-03-04,2022-03-02,2022-03-02,2022-03-01,2022-03-01
"57",4500000057,2024-04-14,1001,4,1,10004,72,2024-05-07,2024-05-06,2024-05-05,2024-05-05,2024-05-04,2024-05-04
"58",4500000058,2024-03-21,1001,4,1,10004,83,2024-04-13,2024-04-10,2024-04-11,2024-04-11,2024-04-10,2024-04-10
"59",4500000059,2022-10-08,1001,4,1,10004,85,2022-10-31,2022-10-28,2022-10-29,2022-10-29,2022-10-28,2022-10-28
"60",4500000060,2024-04-17,1003,6,1,10006,71,2024-05-10,2024-05-07,2024-05-08,2024-05-08,2024-05-07,2024-05-07
"61",4500000061,2023-05-02,1002,8,1,10008,70,2023-05-26,2023-05-23,2023-05-24,2023-05-24,2023-05-22,2023-05-22
"62",4500000062,2024-03-22,1003,6,1,10006,75,2024-04-14,2024-04-11,2024-04-12,2024-04-12,2024-04-11,2024-04-11
"63",4500000063,2023-07-05,1001,4,1,10004,73,2023-07-28,2023-07-26,2023-07-26,2023-07-26,2023-07-25,2023-07-25
"64",4500000064,2024-01-19,1003,6,1,10006,73,2024-02-11,2024-02-11,2024-02-09,2024-02-09,2024-02-08,2024-02-08
"65",4500000065,2024-07-07,1002,5,1,10005,83,2024-07-30,2024-07-29,2024-07-28,2024-07-28,2024-07-27,2024-07-27
"66",4500000066,2022-12-09,1002,5,1,10005,76,2023-01-01,2023-01-01,2022-12-30,2022-12-30,2022-12-29,2022-12-29
"67",4500000067,2022-12-02,1001,4,2,20004,76,2022-12-25,2022-12-22,2022-12-23,2022-12-23,2022-12-22,2022-12-22
"68",4500000068,2023-08-20,1001,4,2,20004,80,2023-09-12,2023-09-11,2023-09-10,2023-09-10,2023-09-09,2023-09-09
"69",4500000069,2023-12-18,1001,4,2,20004,76,2024-01-10,2024-01-05,2024-01-08,2024-01-08,2024-01-07,2024-01-07
"70",4500000070,2022-11-02,1003,6,2,20006,72,2022-11-25,2022-11-24,2022-11-23,2022-11-23,2022-11-22,2022-11-22
"71",4500000071,2023-07-27,1002,5,1,10005,81,2023-08-19,2023-08-17,2023-08-17,2023-08-17,2023-08-16,2023-08-16
"72",4500000072,2024-06-16,1002,8,1,10008,72,2024-07-10,2024-07-05,2024-07-08,2024-07-08,2024-07-06,2024-07-06
"73",4500000073,2023-06-29,1001,4,2,20004,74,2023-07-22,2023-07-20,2023-07-20,2023-07-20,2023-07-19,2023-07-19
"74",4500000074,2022-10-25,1001,4,2,20004,81,2022-11-17,2022-11-17,2022-11-15,2022-11-15,2022-11-14,2022-11-14
"75",4500000075,2022-11-23,1001,4,1,10004,72,2022-12-16,2022-12-13,2022-12-14,2022-12-14,2022-12-13,2022-12-13
"76",4500000076,2023-09-21,1003,6,1,10006,75,2023-10-14,2023-10-13,2023-10-12,2023-10-12,2023-10-11,2023-10-11
"77",4500000077,2022-06-17,1001,4,1,10004,75,2022-07-10,2022-07-08,2022-07-08,2022-07-08,2022-07-07,2022-07-07
"78",4500000078,2023-07-09,1001,4,2,20004,86,2023-08-01,2023-08-01,2023-07-30,2023-07-30,2023-07-29,2023-07-29
"79",4500000079,2024-02-23,1003,6,1,10006,76,2024-03-17,2024-03-15,2024-03-15,2024-03-15,2024-03-14,2024-03-14
"80",4500000080,2022-02-10,1001,4,1,10004,68,2022-03-05,2022-03-03,2022-03-03,2022-03-03,2022-03-02,2022-03-02
"81",4500000081,2023-03-30,1001,4,1,10004,68,2023-04-22,2023-04-21,2023-04-20,2023-04-20,2023-04-19,2023-04-19
"82",4500000082,2023-05-01,1002,8,2,20008,79,2023-05-25,2023-05-25,2023-05-23,2023-05-23,2023-05-21,2023-05-21
"83",4500000083,2024-02-28,1001,4,1,10004,85,2024-03-22,2024-03-21,2024-03-20,2024-03-20,2024-03-19,2024-03-19
"84",4500000084,2022-03-30,1001,4,1,10004,81,2022-04-22,2022-04-20,2022-04-20,2022-04-20,2022-04-19,2022-04-19
"85",4500000085,2022-08-13,1001,4,1,10004,75,2022-09-05,2022-09-02,2022-09-03,2022-09-03,2022-09-02,2022-09-02
"86",4500000086,2022-10-23,1002,5,2,20005,76,2022-11-15,2022-11-15,2022-11-13,2022-11-13,2022-11-12,2022-11-12
"87",4500000087,2021-12-28,1002,5,1,10005,79,2022-01-20,2022-02-03,2022-01-18,2022-02-01,2022-01-17,2022-01-31
"88",4500000088,2023-11-18,1001,4,2,20004,79,2023-12-11,2023-12-12,2023-12-09,2023-12-09,2023-12-08,2023-12-08
"89",4500000089,2023-02-22,1002,8,2,20008,82,2023-03-18,2023-03-16,2023-03-16,2023-03-16,2023-03-14,2023-03-14
"90",4500000090,2022-07-13,1001,4,1,10004,85,2022-08-05,2022-08-05,2022-08-03,2022-08-03,2022-08-02,2022-08-02
"91",4500000091,2023-10-04,1001,4,2,20004,77,2023-10-27,2023-10-24,2023-10-25,2023-10-25,2023-10-24,2023-10-24
"92",4500000092,2023-02-14,1003,6,2,20006,71,2023-03-09,2023-03-07,2023-03-07,2023-03-07,2023-03-06,2023-03-06
"93",4500000093,2022-09-06,1002,8,2,20008,73,2022-09-30,2022-10-10,2022-09-28,2022-10-08,2022-09-26,2022-10-06
"94",4500000094,2024-11-07,1002,5,2,20005,66,2024-11-30,2024-11-30,2024-11-28,2024-11-28,2024-11-27,2024-11-27
"95",4500000095,2023-12-13,1001,4,1,10004,61,2024-01-05,2024-01-02,2024-01-03,2024-01-03,2024-01-02,2024-01-02
"96",4500000096,2024-03-07,1001,4,1,10004,82,2024-03-30,2024-03-28,2024-03-28,2024-03-28,2024-03-27,2024-03-27
"97",4500000097,2024-09-26,1003,6,1,10006,72,2024-10-19,2024-10-16,2024-10-17,2024-10-17,2024-10-16,2024-10-16
"98",4500000098,2023-06-20,1002,8,1,10008,74,2023-07-14,2023-07-28,2023-07-12,2023-07-12,2023-07-10,2023-07-10
"99",4500000099,2023-07-29,1001,4,1,10004,85,2023-08-21,2023-08-16,2023-08-19,2023-08-19,2023-08-18,2023-08-18
"100",4500000100,2023-05-22,1003,6,1,10006,74,2023-06-14,2023-06-12,2023-06-12,2023-06-12,2023-06-11,2023-06-11
"101",4500000101,2022-08-14,1002,5,1,10005,73,2022-09-06,2022-09-06,2022-09-04,2022-09-04,2022-09-03,2022-09-03
"102",4500000102,2023-09-18,1003,6,1,10006,75,2023-10-11,2023-10-16,2023-10-09,2023-10-14,2023-10-08,2023-10-13
"103",4500000103,2022-07-04,1002,5,2,20005,79,2022-07-27,2022-07-26,2022-07-25,2022-07-25,2022-07-24,2022-07-24
"104",4500000104,2023-04-27,1002,5,1,10005,86,2023-05-20,2023-05-17,2023-05-18,2023-05-18,2023-05-17,2023-05-17
"105",4500000105,2023-07-29,1001,4,2,20004,71,2023-08-21,2023-09-01,2023-08-19,2023-08-30,2023-08-18,2023-08-29
"106",4500000106,2022-12-12,1001,4,1,10004,76,2023-01-04,2022-12-30,2023-01-02,2023-01-02,2023-01-01,2023-01-01
"107",4500000107,2021-12-23,1001,4,1,10004,78,2022-01-15,2022-01-12,2022-01-13,2022-01-13,2022-01-12,2022-01-12
"108",4500000108,2023-02-27,1002,8,1,10008,74,2023-03-23,2023-03-23,2023-03-21,2023-03-21,2023-03-19,2023-03-19
"109",4500000109,2023-02-15,1002,8,1,10008,77,2023-03-11,2023-03-21,2023-03-09,2023-03-19,2023-03-07,2023-03-17
"110",4500000110,2024-11-02,1003,6,1,10006,77,2024-11-25,2024-11-25,2024-11-23,2024-11-23,2024-11-22,2024-11-22
"111",4500000111,2023-01-07,1002,5,1,10005,76,2023-01-30,2023-01-26,2023-01-28,2023-01-28,2023-01-27,2023-01-27
"112",4500000112,2024-02-28,1003,6,1,10006,78,2024-03-22,2024-03-21,2024-03-20,2024-03-20,2024-03-19,2024-03-19
"113",4500000113,2023-01-07,1001,4,2,20004,75,2023-01-30,2023-01-25,2023-01-28,2023-01-28,2023-01-27,2023-01-27
"114",4500000114,2022-08-27,1002,5,1,10005,68,2022-09-19,2022-09-14,2022-09-17,2022-09-17,2022-09-16,2022-09-16
"115",4500000115,2024-08-15,1002,5,2,20005,80,2024-09-07,2024-09-07,2024-09-05,2024-09-05,2024-09-04,2024-09-04
"116",4500000116,2024-08-28,1002,8,2,20008,80,2024-09-21,2024-09-18,2024-09-19,2024-09-19,2024-09-17,2024-09-17
"117",4500000117,2024-07-21,1003,6,1,10006,79,2024-08-13,2024-08-22,2024-08-11,2024-08-20,2024-08-10,2024-08-19
"118",4500000118,2023-06-27,1001,4,1,10004,83,2023-07-20,2023-07-20,2023-07-18,2023-07-18,2023-07-17,2023-07-17
"119",4500000119,2022-02-03,1001,4,1,10004,73,2022-02-26,2022-02-28,2022-02-24,2022-02-26,2022-02-23,2022-02-25
"120",4500000120,2024-02-05,1002,5,1,10005,70,2024-02-28,2024-02-28,2024-02-26,2024-02-26,2024-02-25,2024-02-25
"121",4500000121,2023-05-15,1002,5,1,10005,70,2023-06-07,2023-06-06,2023-06-05,2023-06-05,2023-06-04,2023-06-04
"122",4500000122,2022-05-14,1003,6,2,20006,77,2022-06-06,2022-06-06,2022-06-04,2022-06-04,2022-06-03,2022-06-03
"123",4500000123,2023-11-18,1002,5,1,10005,84,2023-12-11,2023-12-11,2023-12-09,2023-12-09,2023-12-08,2023-12-08
"124",4500000124,2022-05-24,1003,6,1,10006,78,2022-06-16,2022-06-15,2022-06-14,2022-06-14,2022-06-13,2022-06-13
"125",4500000125,2023-01-05,1002,5,1,10005,73,2023-01-28,2023-01-27,2023-01-26,2023-01-26,2023-01-25,2023-01-25
"126",4500000126,2023-11-11,1003,6,1,10006,83,2023-12-04,2023-11-30,2023-12-02,2023-12-02,2023-12-01,2023-12-01
"127",4500000127,2024-01-15,1002,8,2,20008,85,2024-02-08,2024-02-21,2024-02-06,2024-02-19,2024-02-04,2024-02-17
"128",4500000128,2022-04-13,1001,4,2,20004,77,2022-05-06,2022-05-05,2022-05-04,2022-05-04,2022-05-03,2022-05-03
"129",4500000129,2023-11-11,1002,5,1,10005,87,2023-12-04,2023-11-30,2023-12-02,2023-12-02,2023-12-01,2023-12-01
"130",4500000130,2024-07-26,1003,6,2,20006,78,2024-08-18,2024-08-29,2024-08-16,2024-08-16,2024-08-15,2024-08-15
"131",4500000131,2023-08-25,1001,4,1,10004,65,2023-09-17,2023-09-17,2023-09-15,2023-09-15,2023-09-14,2023-09-14
"132",4500000132,2022-09-07,1003,6,1,10006,74,2022-09-30,2022-10-10,2022-09-28,2022-10-08,2022-09-27,2022-10-07
"133",4500000133,2022-05-05,1001,4,2,20004,83,2022-05-28,2022-05-26,2022-05-26,2022-05-26,2022-05-25,2022-05-25
"134",4500000134,2024-05-22,1002,8,1,10008,76,2024-06-15,2024-06-14,2024-06-13,2024-06-13,2024-06-11,2024-06-11
"135",4500000135,2022-06-01,1002,5,1,10005,72,2022-06-24,2022-06-27,2022-06-22,2022-06-22,2022-06-21,2022-06-21
"136",4500000136,2024-08-09,1001,4,1,10004,74,2024-09-01,2024-09-01,2024-08-30,2024-08-30,2024-08-29,2024-08-29
"137",4500000137,2024-11-21,1002,5,1,10005,75,2024-12-14,2024-12-14,2024-12-12,2024-12-12,2024-12-11,2024-12-11
"138",4500000138,2022-03-13,1001,4,1,10004,74,2022-04-05,2022-04-01,2022-04-03,2022-04-03,2022-04-02,2022-04-02
"139",4500000139,2023-01-29,1003,6,1,10006,72,2023-02-21,2023-02-20,2023-02-19,2023-02-19,2023-02-18,2023-02-18
"140",4500000140,2022-03-02,1001,4,1,10004,79,2022-03-25,2022-03-23,2022-03-23,2022-03-23,2022-03-22,2022-03-22
"141",4500000141,2022-07-09,1003,6,2,20006,73,2022-08-01,2022-07-27,2022-07-30,2022-07-30,2022-07-29,2022-07-29
"142",4500000142,2024-10-07,1003,6,1,10006,73,2024-10-30,2024-10-29,2024-10-28,2024-10-28,2024-10-27,2024-10-27
"143",4500000143,2022-09-21,1002,5,2,20005,89,2022-10-14,2022-10-13,2022-10-12,2022-10-12,2022-10-11,2022-10-11
"144",4500000144,2024-10-17,1003,6,1,10006,70,2024-11-09,2024-11-08,2024-11-07,2024-11-07,2024-11-06,2024-11-06
"145",4500000145,2023-02-23,1003,6,1,10006,65,2023-03-18,2023-03-17,2023-03-16,2023-03-16,2023-03-15,2023-03-15
"146",4500000146,2022-07-10,1001,4,1,10004,76,2022-08-02,2022-08-01,2022-07-31,2022-07-31,2022-07-30,2022-07-30
"147",4500000147,2023-12-17,1002,5,1,10005,74,2024-01-09,2024-01-04,2024-01-07,2024-01-07,2024-01-06,2024-01-06
"148",4500000148,2023-08-10,1002,5,1,10005,66,2023-09-02,2023-09-02,2023-08-31,2023-08-31,2023-08-30,2023-08-30
"149",4500000149,2023-04-29,1002,8,1,10008,73,2023-05-23,2023-05-29,2023-05-21,2023-05-27,2023-05-19,2023-05-25
"150",4500000150,2024-09-18,1001,4,1,10004,72,2024-10-11,2024-10-08,2024-10-09,2024-10-09,2024-10-08,2024-10-08
"151",4500000151,2024-03-05,1001,4,1,10004,88,2024-03-28,2024-04-04,2024-03-26,2024-04-02,2024-03-25,2024-04-01
"152",4500000152,2022-05-30,1003,6,1,10006,83,2022-06-22,2022-06-20,2022-06-20,2022-06-20,2022-06-19,2022-06-19
"153",4500000153,2024-10-27,1002,5,1,10005,85,2024-11-19,2024-11-14,2024-11-17,2024-11-17,2024-11-16,2024-11-16
"154",4500000154,2022-08-13,1003,6,1,10006,64,2022-09-05,2022-09-02,2022-09-03,2022-09-03,2022-09-02,2022-09-02
"155",4500000155,2024-03-15,1003,6,2,20006,87,2024-04-07,2024-04-05,2024-04-05,2024-04-05,2024-04-04,2024-04-04
"156",4500000156,2022-05-22,1001,4,1,10004,86,2022-06-14,2022-06-10,2022-06-12,2022-06-12,2022-06-11,2022-06-11
"157",4500000157,2022-01-21,1003,6,1,10006,70,2022-02-13,2022-02-09,2022-02-11,2022-02-11,2022-02-10,2022-02-10
"158",4500000158,2022-11-21,1001,4,1,10004,84,2022-12-14,2022-12-12,2022-12-12,2022-12-12,2022-12-11,2022-12-11
"159",4500000159,2023-10-06,1002,5,1,10005,76,2023-10-29,2023-10-27,2023-10-27,2023-10-27,2023-10-26,2023-10-26
"160",4500000160,2024-01-02,1002,5,1,10005,77,2024-01-25,2024-01-25,2024-01-23,2024-01-23,2024-01-22,2024-01-22
"161",4500000161,2022-06-25,1002,5,1,10005,80,2022-07-18,2022-07-14,2022-07-16,2022-07-16,2022-07-15,2022-07-15
"162",4500000162,2024-01-11,1003,6,1,10006,70,2024-02-03,2024-01-31,2024-02-01,2024-02-01,2024-01-31,2024-01-31
"163",4500000163,2023-09-20,1001,4,2,20004,75,2023-10-13,2023-10-10,2023-10-11,2023-10-11,2023-10-10,2023-10-10
"164",4500000164,2022-06-23,1001,4,1,10004,82,2022-07-16,2022-07-16,2022-07-14,2022-07-14,2022-07-13,2022-07-13
"165",4500000165,2022-03-05,1001,4,1,10004,75,2022-03-28,2022-04-07,2022-03-26,2022-04-05,2022-03-25,2022-04-04
"166",4500000166,2022-08-06,1002,8,1,10008,69,2022-08-30,2022-08-29,2022-08-28,2022-08-28,2022-08-26,2022-08-26
"167",4500000167,2022-12-05,1002,8,2,20008,76,2022-12-29,2022-12-27,2022-12-27,2022-12-27,2022-12-25,2022-12-25
"168",4500000168,2023-12-26,1002,5,1,10005,75,2024-01-18,2024-01-15,2024-01-16,2024-01-16,2024-01-15,2024-01-15
"169",4500000169,2024-01-04,1001,7,1,10007,81,2024-01-27,2024-01-24,2024-01-25,2024-01-25,2024-01-24,2024-01-24
"170",4500000170,2022-06-20,1001,4,2,20004,80,2022-07-13,2022-07-22,2022-07-11,2022-07-20,2022-07-10,2022-07-19
"171",4500000171,2022-03-01,1001,4,2,20004,76,2022-03-24,2022-03-22,2022-03-22,2022-03-22,2022-03-21,2022-03-21
"172",4500000172,2022-07-23,1002,5,1,10005,68,2022-08-15,2022-08-10,2022-08-13,2022-08-13,2022-08-12,2022-08-12
"173",4500000173,2022-04-23,1001,4,1,10004,73,2022-05-16,2022-05-11,2022-05-14,2022-05-14,2022-05-13,2022-05-13
"174",4500000174,2024-08-05,1002,8,2,20008,74,2024-08-29,2024-08-28,2024-08-27,2024-08-27,2024-08-25,2024-08-25
"175",4500000175,2024-10-27,1001,4,1,10004,83,2024-11-19,2024-11-15,2024-11-17,2024-11-17,2024-11-16,2024-11-16
"176",4500000176,2022-02-25,1001,4,1,10004,74,2022-03-20,2022-03-20,2022-03-18,2022-03-18,2022-03-17,2022-03-17
"177",4500000177,2022-02-14,1001,4,1,10004,78,2022-03-09,2022-03-07,2022-03-07,2022-03-07,2022-03-06,2022-03-06
"178",4500000178,2022-07-11,1002,8,2,20008,78,2022-08-04,2022-08-03,2022-08-02,2022-08-02,2022-07-31,2022-07-31
"179",4500000179,2022-12-31,1001,4,1,10004,78,2023-01-23,2023-01-20,2023-01-21,2023-01-21,2023-01-20,2023-01-20
"180",4500000180,2022-06-16,1001,4,2,20004,76,2022-07-09,2022-07-07,2022-07-07,2022-07-07,2022-07-06,2022-07-06
"181",4500000181,2024-01-08,1001,4,1,10004,75,2024-01-31,2024-01-30,2024-01-29,2024-01-29,2024-01-28,2024-01-28
"182",4500000182,2023-05-25,1002,8,1,10008,79,2023-06-18,2023-06-14,2023-06-16,2023-06-16,2023-06-14,2023-06-14
"183",4500000183,2023-09-20,1003,6,1,10006,78,2023-10-13,2023-10-13,2023-10-11,2023-10-11,2023-10-10,2023-10-10
"184",4500000184,2022-11-04,1001,4,1,10004,84,2022-11-27,2022-11-23,2022-11-25,2022-11-25,2022-11-24,2022-11-24
"185",4500000185,2022-04-03,1003,6,1,10006,66,2022-04-26,2022-04-21,2022-04-24,2022-04-24,2022-04-23,2022-04-23
"186",4500000186,2024-04-22,1001,4,1,10004,69,2024-05-15,2024-05-24,2024-05-13,2024-05-22,2024-05-12,2024-05-21
"187",4500000187,2023-09-24,1001,4,1,10004,87,2023-10-17,2023-10-20,2023-10-15,2023-10-18,2023-10-14,2023-10-17
"188",4500000188,2024-05-27,1002,5,1,10005,80,2024-06-19,2024-06-18,2024-06-17,2024-06-17,2024-06-16,2024-06-16
"189",4500000189,2022-03-23,1003,6,1,10006,87,2022-04-15,2022-04-27,2022-04-13,2022-04-25,2022-04-12,2022-04-24
"190",4500000190,2022-11-30,1003,6,1,10006,81,2022-12-23,2022-12-22,2022-12-21,2022-12-21,2022-12-20,2022-12-20
"191",4500000191,2022-02-25,1001,4,1,10004,92,2022-03-20,2022-03-18,2022-03-18,2022-03-18,2022-03-17,2022-03-17
"192",4500000192,2023-09-17,1002,5,1,10005,81,2023-10-10,2023-10-10,2023-10-08,2023-10-08,2023-10-07,2023-10-07
"193",4500000193,2024-09-17,1002,8,1,10008,77,2024-10-11,2024-10-08,2024-10-09,2024-10-09,2024-10-07,2024-10-07
"194",4500000194,2023-11-07,1003,6,1,10006,69,2023-11-30,2023-11-29,2023-11-28,2023-11-28,2023-11-27,2023-11-27
"195",4500000195,2024-11-19,1001,4,1,10004,66,2024-12-12,2024-12-11,2024-12-10,2024-12-10,2024-12-09,2024-12-09
"196",4500000196,2024-03-23,1003,6,2,20006,69,2024-04-15,2024-04-12,2024-04-13,2024-04-13,2024-04-12,2024-04-12
"197",4500000197,2024-01-25,1001,4,1,10004,72,2024-02-17,2024-02-17,2024-02-15,2024-02-15,2024-02-14,2024-02-14
"198",4500000198,2023-06-13,1002,8,1,10008,81,2023-07-07,2023-07-12,2023-07-05,2023-07-10,2023-07-03,2023-07-08
